Province,County,Povy,NTL,Slope,RoadDensity,RailwayDensity,PopuDensity,ConstructionLand,EducationYear,ImmigrantPopu,PerHousing,NonAgriculturalPopu,Istrain
安徽省,八公山区,0,0.0370068208346621,0.0,0.0020754449546973894,0.0438940380150834,0.09325242995647574,0.16418,0.6113105924596051,0.0020143510373939167,0.29866468842729976,0.8199754651400532,1
安徽省,包河区,0,0.19864481192392122,0.0,0.00850849811188721,0.0902166708011366,0.058118982172445585,0.31833,0.8016157989228007,0.054869844764042004,0.410979228486647,0.5381312615007156,1
安徽省,大观区,0,0.03582254064480573,0.0,0.0007138600914940307,0.010573223048032711,0.036570258417542294,0.10606,0.7118491921005385,0.00578855766545767,0.45341246290801196,0.7365569413207932,1
安徽省,砀山县,1,0.006661382558107133,0.0,0.0006483843920063948,0.013321238324086472,0.015174298188867827,0.15803,0.5583482944344704,0.0007082020985146393,0.4590504451038576,0.13443058679206704,1
安徽省,东至县,0,0.0016517999510807138,0.001592549637348751,0.000441358648770281,0.003796180701150604,0.0034757996901782625,0.01537,0.5197486535008976,0.0013066187766270754,0.5382789317507419,0.12768350030668574,1
安徽省,杜集区,0,0.02923082162727839,0.0,0.000575770259303894,0.054198738538738,0.0322265188510414,0.14694000000000002,0.5852782764811489,0.0015366826604656437,0.3175074183976262,0.8296871805356777,1
安徽省,繁昌县,0,0.02191150563036216,0.0,0.0007596645721225368,0.01793297592168751,0.007385457974839828,0.03407,0.5359066427289048,0.002427651642873822,0.5369436201780415,0.26569208750766715,1
安徽省,肥东县,0,0.014116929478823833,0.0,0.000636718056752344,0.012567282254752005,0.008450889723471612,0.13593,0.5314183123877917,0.0065197818136144255,0.45667655786350153,0.1592721324882437,1
安徽省,凤阳县,0,0.0066041036469637535,0.0,0.0004788787456678319,0.01826547768349495,0.0076680482296275655,0.08583,0.5323159784560143,0.0032598909068072127,0.38264094955489625,0.15886321815579635,1
安徽省,阜南县,1,0.006453940015047325,0.0,0.0003122910806434111,0.005264611228617795,0.013988169893273903,0.17112,0.45870736086175945,0.0013987069751955426,0.42507418397626123,0.06174606419955019,1
安徽省,固镇县,0,0.003980110285125131,0.0,0.0007458796259143484,0.020801100918565848,0.008647299971480112,0.13028,0.5475763016157988,0.0011103832106299852,0.38442136498516327,0.13075035780004088,1
安徽省,广德县,0,0.007444710369959843,0.0,0.0004498107325767615,0.006441924333729974,0.00545364516137755,0.019790000000000002,0.5359066427289048,0.0035789107375622593,0.5265578635014837,0.14618687384992843,1
安徽省,贵池区,0,0.006257334022744371,0.0013848257716076097,0.0004650826194546085,0.01424643993598271,0.005415597435977783,0.02638,0.5727109515260324,0.005635703784840623,0.6054896142433235,0.23328562666121447,1
安徽省,和县,0,0.01382743876574783,0.0,0.0005914837563806244,0.0,0.008546899786395107,0.10069,0.4578096947935367,0.002875407016525603,0.4681008902077152,0.13545287262318542,1
安徽省,花山区,0,0.1608020286023017,0.0,0.0031994938409240464,0.06938036940993306,0.052324848043715434,0.22527,0.7863554757630161,0.007802595477686388,0.4347181008902078,0.8336740952770394,1
安徽省,怀远县,0,0.007277517872568355,0.0,0.0004113626952613034,0.0,0.009609436599398648,0.12506,0.5161579892280072,0.0015847627233236698,0.4335311572700298,0.15099161725618482,1
安徽省,淮上区,0,0.050490586133549654,0.0,0.0019610958631991328,0.055067333985176325,0.014323823363752954,0.15,0.5359066427289048,0.0005876104099130753,0.5838278931750742,0.2430995706399509,1
安徽省,黄山区,0,0.000797260519968667,0.02475376066748602,0.0006070016033692421,0.0009045094421700236,0.0021771506548360297,0.00914,0.542190305206463,0.001677320759639935,0.5431750741839764,0.248108771212431,1
安徽省,绩溪县,0,0.002374752694430942,0.02515189807682321,0.0004090819742341579,0.016057599389604778,0.0034012948633502897,0.01447,0.5780969479353679,0.0008419492440545557,0.5593471810089021,0.25577591494581886,1
安徽省,界首市,0,0.020225647948331326,0.0,0.0004929487820044135,0.004014756608948198,0.019852227851793927,0.16516999999999998,0.5278276481149012,0.0010859516477444734,0.47908011869436207,0.19270087916581477,1
安徽省,金安区,0,0.012723658667228105,0.0,0.0007199084742179804,0.006528260628104867,0.009525674341056185,0.11497,0.6140035906642728,0.007915826374905777,0.46854599406528197,0.2447352279697403,1
安徽省,金寨县,1,0.001439713171982253,0.008828264293998512,4.21709789921221e-05,0.0039462583919234896,0.0030791935091089464,0.00332,0.5197486535008976,0.0008912822075733773,0.5157270029673591,0.13974647311388264,1
安徽省,旌德县,0,0.0008034528346868701,0.0056777856635912,0.00019414078743324505,0.004860281475346945,0.0030285798543338376,0.01091,0.5152603231597845,0.0005703830258271376,0.5548961424332345,0.15753424657534243,1
安徽省,镜湖区,0,0.1230335530573006,0.0,0.004376139060837988,0.09842551615666019,0.20494095524286363,0.24348,0.7719928186714542,0.010460937454729176,0.34807121661721074,0.8611735841341238,1
安徽省,郎溪县,0,0.007700143352085727,0.0,0.0002551780249219753,0.0026642952330235615,0.006915524028681494,0.05957,0.4856373429084381,0.0025960101691682134,0.4550445103857568,0.1645880188100593,1
安徽省,利辛县,1,0.004703063028475359,0.0,0.00047181298248569474,0.0049430501542518015,0.012832390703057384,0.16399999999999998,0.45511669658886894,0.001032703369660666,0.41706231454005943,0.03710897566959721,1
安徽省,烈山区,0,0.02464850873580799,0.0,0.0004799352561436419,0.03208285239894789,0.010471618416944216,0.11948,0.5825852782764811,0.0014351977069412107,0.39540059347181017,0.5401758331629524,1
