Province,County,Povy,MeanNTL,NonAgriculturalPopu,PopuDensity,ImmigrantPopu,PerHousing,EducationYear,ConstructionLand,Popu65,v24,v21,v16,RailwayDensity,v13,v9,RoadDensity
安徽省,八公山区,0,0.0370068208346621,0.8199754651400532,0.09325242995647574,0.0020143510373939167,0.29866468842729976,0.6113105924596051,0.16418,0.16000000000000006,0.752625588096289,0.9054116245482106,0.8679006670722856,0.0438940380150834,0.18060127183862668,0.22217483709279034,0.002075444954697389
安徽省,蚌山区,0,0.20094061260569507,0.8012676344305867,0.04865292441784355,0.01278287560434838,0.4701780415430268,0.8366247755834829,0.28235,0.7200000000000002,0.7159267444889463,0.7485028029456802,0.3067153357378236,0.061684309317969435,0.7549496497185738,0.8456000724345699,0.005327428919260888
安徽省,包河区,0,0.1986448119239212,0.5381312615007156,0.058118982172445585,0.054869844764042,0.41097922848664703,0.8016157989228007,0.31833,0.16000000000000006,0.6207345817195892,0.35407875743286066,0.4942793578039064,0.0902166708011366,0.376839389737908,0.06957865665459105,0.00850849811188721
安徽省,博望区,0,0.008506692344131699,0.17113064812921694,0.00977982423923239,0.0035790673501448593,0.4419881305637983,0.526032315978456,0.06952,0.03999999999999999,0.04243909728651405,0.18354622116575964,0.9775967441017877,0.0,0.9233338209457024,0.19216979423724145,0.0011005541056455473
安徽省,枞阳县,0,0.0020914542960731443,0.10948681251277856,0.010641337994709902,0.0011791361343911366,0.4721068249258161,0.4676840215439856,0.05159,0.7200000000000002,0.638575038062828,0.6276928134264503,0.2380791649541777,0.003498165888886855,0.8284624788368082,0.12944433544861947,0.00040873539407807206
安徽省,大观区,0,0.03582254064480573,0.7365569413207932,0.03657025841754229,0.0057885576654576705,0.453412462908012,0.7118491921005385,0.10605999999999999,0.16000000000000006,0.5264370165932788,0.33869562378190976,0.8209818458994375,0.010573223048032713,0.42991772430371294,0.7518327710948814,0.0007138600914940307
安徽省,大通区,0,0.031418256801483684,0.4453077080351666,0.017435115664608026,0.0016326861735990964,0.4587537091988131,0.5502692998204668,0.15385,0.2,0.7711817220371727,0.840544832368848,0.1978441961074636,0.05217542488516441,0.9569107948345844,0.07419019317078268,0.0016153653874959556
安徽省,当涂县,0,0.025589740572974886,0.17113064812921694,0.010609525515278658,0.0035790673501448593,0.4419881305637983,0.526032315978456,0.06432,0.0,0.06059876838429274,0.4099160828677979,0.6762340882286982,0.013730324897984036,0.2367359536735321,0.9877167132912996,0.0004190042287027444
安徽省,定远县,0,0.0047231880513095206,0.13821304436720505,0.006019111983267908,0.0014574366936703305,0.34465875370919885,0.4694793536804309,0.11419000000000001,0.32,0.32191510186407674,0.6134992898280289,0.5318292804756651,0.004976823580701484,0.8744083301689578,0.4989463312866002,0.0004283674829195796
安徽省,东至县,0,0.0016517999510807138,0.12768350030668574,0.0034757996901782625,0.0013066187766270756,0.5382789317507419,0.5197486535008976,0.015369999999999998,0.8800000000000001,0.4172041587308578,0.9331898576467471,0.5703380576799952,0.003796180701150604,0.41399300670373584,0.6878357413969308,0.00044135864877028097
安徽省,繁昌县,0,0.02191150563036216,0.26569208750766715,0.0073854579748398284,0.0024276516428738217,0.5369436201780415,0.5359066427289048,0.034069999999999996,0.9600000000000002,0.7085445964672197,0.4284158728072039,0.4593179839682356,0.017932975921687508,0.5460778715567562,0.617137006781734,0.0007596645721225367
安徽省,肥东县,0,0.014116929478823832,0.1592721324882437,0.008450889723471612,0.0065197818136144255,0.4566765578635015,0.5314183123877917,0.13593,0.2,0.8593526940510428,0.9416252103442992,0.4120326752355588,0.012567282254752005,0.1948740669348373,0.06125386931571637,0.000636718056752344
安徽省,肥西县,0,0.020874292915063118,0.16949499079942748,0.00779043083799956,0.016171658666634926,0.4789317507418399,0.5942549371633751,0.1335,0.4000000000000001,0.0588090660120544,0.29757332914935464,0.6336731862531457,0.016966389970338846,0.7078120069865986,0.22395281324351665,0.0013132704714444894
安徽省,凤台县,0,0.012719014431189451,0.23941934164792475,0.014100531570625057,0.005915100632198011,0.5102373887240357,0.552064631956912,0.16146999999999995,0.6800000000000002,0.7325691159616622,0.8232183731226368,0.8314012024770218,0.016925719153980428,0.9690831460841396,0.8524663871666732,0.0005863689040770996
安徽省,凤阳县,0,0.006604103646963754,0.15886321815579635,0.0076680482296275655,0.0032598909068072127,0.38264094955489625,0.5323159784560143,0.08582999999999999,0.6000000000000001,0.8308465545606489,0.4170711773375361,0.3156175781241432,0.01826547768349495,0.7863910026516413,0.6299581486158737,0.00047887874566783186
安徽省,阜南县,1,0.006453940015047325,0.061746064199550185,0.013988169893273904,0.0013987069751955426,0.4250741839762612,0.4587073608617594,0.17112,0.6000000000000001,0.7765307108454143,0.8498493131781487,0.5886580971641094,0.0052646112286177955,0.40927532926123705,0.7380840711026202,0.00031229108064341113
安徽省,固镇县,0,0.003980110285125131,0.13075035780004088,0.008647299971480112,0.0011103832106299852,0.3844213649851633,0.5475763016157988,0.13028,0.24,0.32782263711836235,0.4279305956790493,0.6158630461111232,0.020801100918565848,0.15523101723024232,0.031071893231613117,0.0007458796259143483
安徽省,广德县,0,0.007444710369959843,0.14618687384992846,0.00545364516137755,0.0035789107375622593,0.5265578635014837,0.5359066427289048,0.01979,0.44,0.7168753798464762,0.0753288986601933,0.08325593088388092,0.006441924333729974,0.9077333434512648,0.6519489900883887,0.00044981073257676155
