Province,County,Povy,MeanNTL,RoadDensity,RailwayDensity,RoadAccess,AvgSlope,AvgEle,ConstructionLand,Corpland,PopuDensity,MalePopu,Popu65,ImmigrantPopu,NonAgriculturalPopu,PerHousing,EducationYear,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,Istrain
安徽省,八公山区,0,0.0370068208346621,0.0020754449546973894,0.0438940380150834,0.6933333333333334,0.0,0.9420591913297207,0.16418,0.48,0.09325242995647574,0.4,0.16000000000000006,0.0020143510373939167,0.8199754651400532,0.29866468842729976,0.6113105924596051,0.2557915507503345,0.23721062322814426,0.9919579896320674,0.9066793716209121,0.20106676827570039,0.2804765435783254,0.06661908979006366,0.7911572895579577,0.22217483709279034,0.1927752408559585,0.5340796645833203,0.3776296358968226,0.18060127183862668,0.26784858717043525,0.4764381198578168,0.8679006670722856,0.21284899465285423,0.8581002040942182,0.6298009981985169,0.8106520547822428,0.9054116245482106,0.5701020324446123,0.3740986200595275,0.752625588096289,0.721089032054537,1
安徽省,蚌山区,0,0.20094061260569507,0.005327428919260888,0.06168430931796944,0.7066666666666667,0.0,0.3297207169654022,0.28235,0.28,0.04865292441784355,0.5000000000000001,0.7200000000000002,0.01278287560434838,0.8012676344305867,0.4701780415430268,0.8366247755834829,0.6631430386405396,0.23981431678467846,0.3024508548411811,0.3001650198437169,0.621770401435109,0.7693138176653096,0.4629670950140245,0.39346369345374677,0.8456000724345699,0.7483361560616796,0.04882208924097076,0.19705353380884733,0.7549496497185738,0.051536036149044874,0.8274038006109803,0.30671533573782356,0.7579755994260581,0.9582059740953615,0.8168410269175523,0.5217900677846585,0.7485028029456802,0.5377351105744624,0.3242086398441782,0.7159267444889463,0.609178510142452,1
安徽省,包河区,0,0.19864481192392122,0.00850849811188721,0.0902166708011366,0.7200000000000001,0.0,0.9458107544810338,0.31833,0.44,0.058118982172445585,0.3333333333333335,0.16000000000000006,0.054869844764042004,0.5381312615007156,0.410979228486647,0.8016157989228007,0.7854874616428973,0.6505202370539147,0.3730173212823308,0.29800185384105676,0.34779962451787766,0.4901761899718778,0.45055245836640584,0.8356362976002409,0.06957865665459105,0.033046327538323886,0.29914281743046073,0.42567139376308405,0.37683938973790804,0.5086266819963573,0.3276798115641296,0.4942793578039064,0.6070413629021468,0.04602168719741972,0.3455754976786321,0.8432556763243799,0.35407875743286066,0.752055465281699,0.5710867921423295,0.6207345817195892,0.628540386984244,1
安徽省,博望区,0,0.008506692344131699,0.0011005541056455471,0.0,0.38666666666666666,0.0,0.7894956231763235,0.06952,0.17,0.00977982423923239,0.5000000000000001,0.03999999999999999,0.003579067350144859,0.17113064812921694,0.4419881305637983,0.526032315978456,0.11472745977353833,0.03900872591766231,0.3296666054572599,0.519687917751531,0.6675177021929574,0.3099077005367381,0.014452268409064339,0.31790222504931487,0.19216979423724143,0.7432223093034594,0.2131401223042098,0.454333570852599,0.9233338209457025,0.22041158970959987,0.33764397455906775,0.9775967441017875,0.5558281071760639,0.4865429135198829,0.36818800886040054,0.8487556632690676,0.18354622116575964,0.29451678418899757,0.49337645690563026,0.04243909728651405,0.012511633400888482,1
安徽省,枞阳县,0,0.002091454296073144,0.00040873539407807206,0.0034981658888868544,0.48000000000000004,0.0,0.027094622759483118,0.05159,0.96,0.010641337994709902,1.0,0.7200000000000002,0.0011791361343911366,0.10948681251277856,0.4721068249258161,0.4676840215439856,0.5402135299686122,0.5277859444359332,0.6482497910187709,0.2528703499524555,0.510251336704177,0.7162596204906332,0.16054968434685046,0.4826796770421014,0.12944433544861947,0.5282828321993188,0.3759396254928753,0.8083071766797195,0.8284624788368082,0.5534835649826841,0.4437222911332186,0.2380791649541777,0.7948549133716254,0.02029312833602337,0.003800356249866907,0.33055340516073084,0.6276928134264503,0.24388515325025067,0.24333097486441949,0.638575038062828,0.44303578565030977,1
安徽省,大观区,0,0.03582254064480573,0.0007138600914940307,0.010573223048032711,0.3733333333333333,0.0,0.13839099624843684,0.10606,0.59,0.036570258417542294,0.6333333333333334,0.16000000000000006,0.00578855766545767,0.7365569413207932,0.45341246290801196,0.7118491921005385,0.5740910132380407,0.7752487860656223,0.6585216383225891,0.7851349568181873,0.06622278555625678,0.403291894699422,0.10373205711260548,0.46456311905323483,0.7518327710948814,0.2243534099023889,0.7566927680682017,0.7632827109138752,0.429917724303713,0.17246993747161807,0.3757969452429738,0.8209818458994375,0.8651816270986016,0.8917846601494439,0.10755142374145994,0.24371566204266942,0.33869562378190976,0.7128314073696197,0.7709445495042878,0.5264370165932788,0.8875342698806781,1
安徽省,大通区,0,0.03141825680148368,0.0016153653874959558,0.05217542488516441,0.27999999999999997,0.0,0.5248020008336807,0.15385,0.41,0.017435115664608026,1.0,0.19999999999999998,0.0016326861735990966,0.4453077080351666,0.45875370919881314,0.5502692998204668,0.8017746093789325,0.1545697442002225,0.005042564005989885,0.9596885246476017,0.11253621339764154,0.7535058554708663,0.14716656729564614,0.492257581342773,0.07419019317078268,0.7248480292243126,0.3534093413917796,0.651197927512536,0.9569107948345844,0.8584747167567959,0.8600881053114972,0.1978441961074636,0.7349928784929881,0.9017017516881207,0.8888175889576263,0.08779813074205849,0.840544832368848,0.028386013832881606,0.8715616590305684,0.7711817220371727,0.05589356145397402,1
安徽省,当涂县,0,0.025589740572974883,0.00041900422870274435,0.013730324897984036,0.8133333333333335,0.0,0.7711546477699042,0.06432,0.99,0.010609525515278658,0.23333333333333336,0.0,0.003579067350144859,0.17113064812921694,0.4419881305637983,0.526032315978456,0.27230633943630494,0.170448881096268,0.40612982581702073,0.9897874793815767,0.9499277712006773,0.2859172641245614,0.22946718884654013,0.9089797564806994,0.9877167132912995,0.8429739895461559,0.7364426353758967,0.8810525999901102,0.23673595367353215,0.19550034940566063,0.41808826409046546,0.6762340882286982,0.9873771660641766,0.13492314261082797,0.5493189888896919,0.2178763325744124,0.4099160828677979,0.10719802473434228,0.5500471270113357,0.06059876838429274,0.6432188594887267,1
安徽省,定远县,0,0.00472318805130952,0.0004283674829195796,0.004976823580701484,0.96,0.0,0.7786577740725302,0.11419,0.71,0.006019111983267908,0.13333333333333347,0.32,0.0014574366936703303,0.13821304436720505,0.34465875370919885,0.46947935368043087,0.4672595559999819,0.567211538348981,0.25518083005635134,0.3683179043385123,0.5049639126124373,0.0700129503316765,0.33805378538965913,0.962206454571293,0.4989463312866002,0.28104560702163045,0.3931022507132076,0.5179189337929062,0.8744083301689578,0.7604733267531051,0.31628588175112676,0.5318292804756651,0.612855108632253,0.8463448996498114,0.1475998742458335,0.16396719432148563,0.613499289828029,0.4801077929855848,0.7362544242505518,0.32191510186407674,0.9689152394176717,1
安徽省,东至县,0,0.0016517999510807138,0.000441358648770281,0.003796180701150604,1.0,0.001592549637348751,0.7682367653188829,0.01537,0.9,0.0034757996901782625,0.2666666666666667,0.8800000000000001,0.0013066187766270754,0.12768350030668574,0.5382789317507419,0.5197486535008976,0.25670374002488777,0.5804676002848469,0.45210238052137225,0.3483902163451866,0.5511961283950225,0.8780985441365788,0.4330601990683893,0.9294683418483453,0.6878357413969308,0.30252260121784297,0.6593999939307429,0.10126244143951363,0.41399300670373584,0.34567310484132585,0.42679840729759605,0.5703380576799952,0.043055561001693464,0.7067924125052104,0.6644520288921262,0.718723627038159,0.933189857646747,0.2604549067816973,0.17329114506489077,0.4172041587308578,0.04459233627559981,1
